dsample,RMSE_LOO,MAE_LOO,R2_LOO,RMSE_surf,MAE_surf,R2_surf,RMSE_bLOO_out,MAE_bLOO_out,R2_bLOO_out,RMSE_bLOO_res,MAE_bLOO_res,R2_bLOO_res,RMSE_NDM_out,MAE_NDM_out,R2_NDM_out,RMSE_NDM_res,MAE_NDM_res,R2_NDM_res,outrange,resrange
sregular,0.10067812660743779,0.07523514145127098,0.8251508451179801,0.08490335012803002,0.06684230132844662,0.8937662446919421,0.18131431991698413,0.14947712139619934,0.3944516302563331,0.14197433061947176,0.11022223485814135,0.6177632479504617,0.10220501981432077,0.07610730011786214,0.8112001030023953,0.10267943945944857,0.07573861797526162,0.810674735865947,276643.48487307254,152879.69939841275
wregular,0.08082558229089533,0.06245671963362143,0.9052165544163823,0.0873623858451844,0.06780582125464264,0.9059733318312497,0.18098914196595917,0.15116631729108115,0.3677535631731824,0.1598828638632589,0.13393089015202544,0.5118413148358055,0.08404331718320107,0.06553261381217595,0.8968989158698231,0.0835894164798589,0.06496485674618319,0.90118968851776,216169.5181629693,142099.59512352222
random,0.09495400708433191,0.07098801448994625,0.7844654622440347,0.10161446535886902,0.07662409285969357,0.8798383227448888,0.12348270138715003,0.1007118076302111,0.6156313395802834,0.11976558455967751,0.09659578489376855,0.6382351529029237,0.09695622680429514,0.0723550839759161,0.7662596294312869,0.09611967486014496,0.07145740772532921,0.772742281681535,138291.92787856853,102852.06110186661
wclust,0.09295174875289813,0.06148766824482319,0.8632123753389486,0.09406282617171718,0.07139542830017595,0.8595333852830221,0.18811778668344087,0.15109982079571113,0.415705808628244,0.17738306381355892,0.14057912315146376,0.4661941042340493,0.12100890641939356,0.07795906693913351,0.7477245432839258,0.11989776545566579,0.07613408568699845,0.7525488378665887,223553.73042449798,183667.35762853976
sclust,0.06971244971659724,0.05160176954342675,0.9345842858196771,0.113498651539156,0.08065378253746597,0.7671794901678537,0.19930709726276988,0.15877472556315053,0.38565984611409426,0.11845047630420139,0.08838641607978845,0.8043384753399532,0.12786679047255287,0.09094328459170957,0.7519759026944437,0.10831248770322488,0.07763210196187255,0.8355603948563806,198603.2642450618,48513.24214481347
sregular,0.09602207599629811,0.07010673808612686,0.8594373239836036,0.08904772702966662,0.0680562226367561,0.8933106028252977,0.166578108229965,0.12947903922682738,0.43719904178940705,0.1209522438005365,0.09714378077083019,0.7497690218167489,0.09612282928242258,0.0717329296018667,0.859236350598727,0.09537345039589205,0.07162954439746283,0.8573902482843704,242832.479331649,126570.10501933385
wregular,0.09435740255284229,0.06913823259547731,0.836285028600632,0.10291939723030552,0.07907064283199991,0.8288332539047474,0.16890554081016954,0.12825407668908576,0.41641613614544215,0.15911465361705354,0.11660537346971989,0.4821305664819139,0.09492565199975032,0.06968713433700327,0.8310169319917505,0.09381239542019436,0.06788359686424388,0.8380479170097492,188924.77321971807,158101.1153077396
random,0.08809696592358154,0.06852079237306491,0.8551095086665222,0.107499316319018,0.07956280317529066,0.8210340526098915,0.1656690196288193,0.13110102738676901,0.4134049806110906,0.1263322229105025,0.09338207688756055,0.6710778737321755,0.08855423828877634,0.06763074786959916,0.8542931512625409,0.08653763941188004,0.06685818901469853,0.8615561180446928,262656.03443480714,78215.4886661229
wclust,0.07790240108450154,0.05409435750496883,0.8439059387489463,0.1646201447162074,0.10953849861891249,0.579190823223495,0.10803587534772664,0.08469042596624544,0.6722556839026904,0.09868476415974899,0.07238752247123668,0.7204774600558881,0.09306841702330493,0.06778568916793914,0.7681127666531447,0.08660272326982388,0.06008055032708993,0.7955557370005886,84214.96930383464,52767.50807750031
sclust,0.05920353871665062,0.04479637891510191,0.9198918504035538,0.150594078058907,0.11214416775071599,0.6050417041712983,0.10874040427404191,0.08875012798500248,0.7210055904459018,0.10698042088256494,0.0870412859827932,0.7366574182304698,0.08521750147884252,0.06897293607089049,0.8288600096359867,0.08794607859763943,0.07067654612953464,0.815976575319177,198845.11074338495,118510.1924106243
